Name,rank,count,prop100k,cum_prop100k
Smith,1,2442977,828.19,828.19
Johnson,2,1932812,655.24,1483.42
Williams,3,1625252,550.97,2034.39
Brown,4,1437026,487.16,2521.56
Jones,5,1425470,483.24,3004.8
Garcia,6,1166120,395.32,3400.12
Miller,7,1161437,393.74,3793.86
Davis,8,1116357,378.45,4172.31
Rodriguez,9,1094924,371.19,4543.5
Martinez,10,1060159,359.4,4902.9
Hernandez,11,1043281,353.68,5256.58
Lopez,12,874523,296.47,5553.05
Gonzalez,13,841025,285.11,5838.16
Wilson,14,801882,271.84,6110
Anderson,15,784404,265.92,6375.92
Thomas,16,756142,256.34,6632.26
Taylor,17,751209,254.67,6886.93
Moore,18,724374,245.57,7132.49
Jackson,19,708099,240.05,7372.54
Martin,20,702625,238.19,7610.74
Lee,21,693023,234.94,7845.68
Perez,22,681645,231.08,8076.76
Thompson,23,664644,225.32,8302.08
White,24,660491,223.91,8525.99
Harris,25,624252,211.63,8737.62
Sanchez,26,612752,207.73,8945.34
Clark,27,562679,190.75,9136.1
Ramirez,28,557423,188.97,9325.07
Lewis,29,531781,180.28,9505.34
Robinson,30,529821,179.61,9684.96
Walker,31,523129,177.34,9862.3
Young,32,484447,164.23,10026.53
Allen,33,482607,163.61,10190.14
King,34,465422,157.78,10347.92
Wright,35,458980,155.6,10503.52
Scott,36,439530,149,10652.52
Torres,37,437813,148.42,10800.94
Nguyen,38,437645,148.36,10949.31
Hill,39,434827,147.41,11096.72
Flores,40,433969,147.12,11243.84
Green,41,430182,145.83,11389.67
Adams,42,427865,145.05,11534.72
Nelson,43,424958,144.06,11678.78
Baker,44,419586,142.24,11821.03
Hall,45,407076,138,11959.03
Rivera,46,391114,132.59,12091.62
Campbell,47,386157,130.91,12222.53
Mitchell,48,384486,130.34,12352.87
Carter,49,376966,127.79,12480.66
Roberts,50,376774,127.73,12608.39
Gomez,51,365655,123.96,12732.35
Phillips,52,360802,122.31,12854.67
Evans,53,355593,120.55,12975.22
Turner,54,348627,118.19,13093.4
Diaz,55,347636,117.85,13211.25
Parker,56,336221,113.98,13325.24
Cruz,57,334201,113.3,13438.53
Edwards,58,332423,112.69,13551.23
Collins,59,329770,111.79,13663.02
Reyes,60,327904,111.16,13774.18
Stewart,61,324957,110.16,13884.34
Morris,62,318884,108.1,13992.45
Morales,63,311777,105.69,14098.14
Murphy,64,308417,104.56,14202.7
Cook,65,302589,102.58,14305.28
Rogers,66,302261,102.47,14407.75
Gutierrez,67,293218,99.4,14507.15
Ortiz,68,286899,97.26,14604.41
Morgan,69,286280,97.05,14701.46
Cooper,70,280791,95.19,14796.65
Peterson,71,278297,94.34,14891
Bailey,72,277845,94.19,14985.19
Reed,73,277030,93.92,15079.1
Kelly,74,267394,90.65,15169.75
Howard,75,264826,89.78,15259.53
Ramos,76,263464,89.32,15348.84
Kim,77,262352,88.94,15437.78
Cox,78,261231,88.56,15526.34
Ward,79,260464,88.3,15614.64
Richardson,80,259798,88.07,15702.72
Watson,81,252579,85.63,15788.34
Brooks,82,251663,85.32,15873.66
Chavez,83,250898,85.06,15958.71
Wood,84,250715,84.99,16043.71
James,85,249379,84.54,16128.25
Bennett,86,247599,83.94,16212.19
Gray,87,246116,83.44,16295.62
